"","X1","X2","X3","Order_reshape"
"123326","886485","526513","1700176","123326"
"123327","490499","245676","22512","123327"
"123346","144889","1448130","1066579","123346"
"123349","1923415","483330","195269","123349"
"123350","1433807","173743","166542","123350"
"123375","166576","29789","152178","123375"
"123381","80187","101775","123387","123381"
"123383","51371","22571","36971","123383"
"130347","108745","547949","324742","130347"
"130348","454348","223949","288748","130348"
"130350","447152","468756","461554","130350"
"130351","454357","29557","468749","130351"
"130352","475956","432752","339152","130352"
"130355","511946","159163","511945","130355"
"130357","187951","382354","173561","130357"
"130359","295956",NA,NA,"130359"
"130361","202361","274361","324760","130361"
"130457","252871","51330","245702","130457"
"130459","1347402","1887404","51353","130459"
"130469","15338","166550","1765014","130469"
"130471","2448961","1505746","2549758","130471"
"130472","1541795","2117745","562545","130472"
"130473","1563403","281669","1981028","130473"
"130477","2607354","958567","692119","130477"
"130478","296083","252876","2017010","130478"
"130479","1801015","1750624","238542","130479"
"130490","101654","1894599","1592196","130490"
"130495","569742","375273","418541","130495"
"130496","562522","648895","1793801","130496"
"130497","296083","252876","2017010","130497"
"130509","411285","1311311","238488","130509"
"130511","267285","1801017","634559","130511"
"130512","2045804","706494","1268196","130512"
"130514","1426599","2024219","1894610","130514"
"130516","735320","1419405","1383404","130516"
"130517","1404996","1073741","1944997","130517"
"130521","2024187","2643366","65693","130521"
"130522","36925","1945027","1671412","130522"
"130523","2765763","1246509","1995385","130523"
"130524","1246582","2506566","1858583","130524"
